patient	MB-0005	MB-6217
category	aliveafter72	aliveafter72
RERE	7.963493221	9.276387121
RNF165	5.5530559	6.12389354
CD049690	5.472385906	5.507942526
BC033982	5.265556124	5.28494965
PHF7	5.79339821	6.367508926
CIDEA	6.489780674	5.564499228
PAPD4	8.86281476	8.737746421
AI082173	5.538853649	5.334597066
SLC17A3	5.566713046	5.767272856
SDS	7.233671118	6.266660645
ATP6V1C2	5.537530065	5.431659494
F3	6.964546235	5.570128711
FAM71C	5.255454322	5.327774917
AK055082	5.374814966	5.289393305
BU687559	5.668775769	5.338756043
LIN52	6.480061145	6.030817965
PCOTH	5.790445278	5.835492807
GRM1	5.462633623	5.305613334
FXN	5.807003635	6.096447875
SLC9A1	8.477327319	8.94071612
PML	5.572600582	6.639707905
CR749394	5.539775795	5.284768442
CD164	8.575000955	5.331779088
DB337918	5.562090497	5.515428936
MOBKL2A	6.469046645	6.548492243
HGC6.1.1	5.329955978	5.612412783
OR1J2	5.575367976	5.549441262
GNG5	8.016276154	8.580897325
TAF15	9.073887904	11.27629684
EXTL3	6.592134951	7.047268306
CNPY3	7.276074398	8.372630143
C19orf24	7.271720674	7.702183003
GAS2L2	5.603927746	5.605986756
AA913006	5.423146161	5.515182843
C21orf33	7.813141564	7.862439153
DA442494	5.410971388	5.282250782
P2RX1	5.53082642	5.66966603
CD515666	5.453637629	5.42535569
LRR1	8.878044804	7.959685373
ATP1B2	6.032880203	7.114799152
BM668203	5.370496757	5.455193446
UBLCP1	8.759073912	6.339215405
BG236224	5.397764285	5.296607335
ADAMTSL4	5.871359119	5.77495003
BX109195	5.493089189	5.552360039
IL28B	5.404527177	5.320276059
DES	5.481357718	5.383248651
HERC2P9	5.662301394	5.749743547
BC033582	5.333151098	5.379685522
PRR16	6.170713947	6.326035498
HIPK2	7.756437111	7.910343081
SHMT2	9.007342568	10.13138251
MRPS5	7.329297592	7.547484677
SNORD36C	5.760860563	5.6614528
CHRNA6	5.549762835	5.927408644
TBC1D22A	5.444225022	6.252903284
RPL35	11.02703014	10.87849407
AI251715	5.249646452	5.318761065
ST6GALNAC4	6.304317706	7.730910687
TM2D1	10.08673784	8.03614847
RASD2	6.395221211	7.926861044
BM987095	5.497845994	5.521723592
CD364315	5.413514862	5.45894426
UBE2DNL	5.476610988	5.299813628
TFAP2D	5.242251371	5.298804473
ITGA10	5.736938553	6.468054014
LYRM5	9.274093415	8.412040412
LPPR1	5.564053081	5.861940783
MARS2	6.511633423	6.608029879
MAGEC1	5.428045364	5.502493485
PDIA6	7.941894939	8.091860589
FLJ41130	5.48662371	5.528226724
SLC25A25	8.392142723	9.283964301
BX109285	5.313984496	5.508812213
AI979035	5.204429849	5.322057787
FGFBP2	5.475339703	5.571244029
LRRC23	6.020160572	5.761386294
PNCK	6.022217659	6.146693875
CA429570	5.443747349	5.478838685
RPS24	7.635114086	8.933306491
C14orf102	8.346879959	9.130551431
AA885282	5.236993351	5.320874346
