patient	MB-0899	MB-0614	MB-0609	MB-0524	MB-0529	MB-0321	MB-7057	MB-6184	MB-7226	MB-7182
category	aliveafter72	aliveafter72	aliveafter72	aliveafter72	diespre60	aliveafter72	diespre60	aliveafter72	diespre60	diespre60
RERE	8.643689431	8.880259828	8.681164008	8.302470402	8.585750066	8.241993998	9.332258866	8.6041104	8.739359332	8.616536678
RNF165	7.010217195	6.508599294	6.248915702	6.373113919	7.398446831	6.206466606	5.933861968	5.904705754	6.349016688	6.946619509
CD049690	5.47724806	5.480690888	5.627271897	5.285841328	5.63387022	5.430502832	5.404657893	5.380276642	5.24100026	5.095887783
BC033982	5.313121401	5.523706612	5.194002514	5.133375248	5.279988422	5.325874333	5.160296296	5.267995409	5.197949987	5.226185759
PHF7	5.886145744	5.657580264	5.813380212	5.648459298	5.90717043	5.646127125	6.2515149	5.56583103	5.32247673	5.957264828
CIDEA	6.906790832	6.564603059	5.911861521	5.405566661	6.355885209	5.473378247	6.15923331	5.324359363	5.864565958	7.740447665
PAPD4	7.839946683	8.184610148	8.927893575	7.696648149	8.302382999	7.808158507	8.688412359	7.930635125	8.450688424	7.732430293
AI082173	5.298804361	5.318686339	5.084345958	5.2746968	5.325982875	5.49672287	5.344718745	5.259845993	5.423696471	5.281793639
SLC17A3	5.595748156	5.700342738	5.754780526	5.599800866	5.563112453	5.514724365	5.681010051	5.607783382	5.775699	5.557264964
SDS	6.585528454	7.414225082	6.504023401	6.515074471	6.51606621	6.114150628	5.980212832	6.33768101	6.864567242	7.072286337
ATP6V1C2	5.3172942	5.663521726	5.509017166	5.793786115	5.489269781	5.279376887	5.891408504	5.27496793	5.21618189	6.571646207
F3	6.31249136	5.786472093	5.288234999	7.282229535	5.696304375	5.285598101	5.729578543	5.849598515	6.170912691	5.513484111
FAM71C	5.539913282	5.431335389	5.445737477	5.168369535	5.396365092	5.3202637	5.347496603	5.427905244	5.211720365	5.462556248
AK055082	5.357100649	5.36407061	5.235860758	5.527235658	5.303974587	5.407275813	5.273172217	5.406112645	5.449979482	5.826584025
BU687559	5.2414469	5.390016457	5.086437413	5.410637143	5.367823528	5.441430134	5.230922075	5.321141091	5.046808361	5.514464814
LIN52	6.105319993	6.585919814	6.650731007	6.665506534	6.179034729	6.441300993	6.423099987	6.07047408	6.700672519	6.251235041
PCOTH	5.342566758	7.468530144	5.504188304	5.982338344	5.858919416	6.454833221	5.529004181	6.039576767	6.034858182	5.15506894
GRM1	5.587758349	5.305196154	5.420918803	5.240972774	5.245458504	5.40626855	5.27120592	5.41583349	5.501486528	5.416018286
FXN	6.009422619	6.041582234	6.256995126	6.259120602	6.140963955	6.461598357	6.296302779	5.946062618	5.848478069	6.26908513
SLC9A1	8.971369678	8.975101022	10.06097394	9.561760794	9.609935886	9.849728691	10.02767624	9.212019871	8.386866887	9.036197462
PML	6.222533042	6.32281917	6.33331793	6.071442614	6.502260427	6.499822268	6.918377132	6.755220529	6.106813871	6.557176877
CR749394	5.448026555	5.459548506	5.36732816	5.200287514	5.644613073	5.453200527	5.439827115	5.275534828	5.240133751	5.378369862
CD164	6.449963571	5.780055517	5.777714955	6.028213844	5.982071834	5.637287098	6.133432298	6.01029749	5.932328889	5.572049382
DB337918	5.208114268	5.574502006	5.330255048	5.702549309	5.350790746	5.460978478	5.350421481	5.361687724	5.464713503	5.526533793
MOBKL2A	6.753697353	6.87528353	6.812974876	6.970812419	7.097973927	7.025427855	6.893291478	6.407699065	6.651962042	6.34344884
HGC6.1.1	5.39885219	5.461014813	5.423216917	5.406845113	5.199259953	6.604690384	5.499585249	5.496976632	5.476617751	5.425623172
OR1J2	5.483907198	5.56526504	5.574399939	5.550050303	5.502248297	5.501402329	5.482895978	5.683211158	5.442629308	5.672750646
GNG5	8.173396443	8.848996483	7.765245959	8.316753694	8.692062257	8.486021428	8.282620821	8.728998054	8.217102002	7.390871911
TAF15	10.03960854	9.96073984	10.00868358	9.393240179	10.26597772	9.641714551	9.504050084	10.37533252	10.59244739	10.32469079
EXTL3	7.012445569	6.517791483	6.918315961	6.87815217	7.294112316	6.941163014	6.942724989	6.704624809	6.644355916	7.705675043
CNPY3	7.628264699	7.828363252	7.256492575	7.260750228	7.382614363	7.328233732	6.555505555	7.800334377	7.846330515	7.080920515
C19orf24	7.648754522	7.569627952	7.563614058	7.518552155	7.999862869	7.579068884	7.552593674	7.403532923	8.068229302	8.456061434
GAS2L2	5.544998126	5.378324813	5.591218866	5.498189667	5.540358347	5.649106312	5.768512559	5.560724788	5.318161998	5.529037315
AA913006	5.138963222	5.365086321	5.411966491	5.463614272	5.311417292	5.435045441	5.257935071	5.476059282	5.31024019	5.156614264
C21orf33	7.979906552	7.972134811	7.973433252	7.521882039	7.917018852	8.370527004	7.702675662	7.65991317	8.578583446	8.258492637
DA442494	5.24531824	5.425666065	5.168476855	5.340591325	5.318255035	5.193687159	5.524928085	5.264010307	5.150862908	5.311758309
P2RX1	5.683564922	5.75096972	5.747220828	5.4313326	5.676504123	5.665084957	5.870020693	5.943495486	5.44905268	5.705018158
CD515666	5.32635305	5.400894907	5.341613607	5.223619938	5.566706096	5.56098791	5.159382629	5.233092196	5.406080796	5.265017917
LRR1	7.771317552	8.146779021	8.251839629	7.823195081	7.961514076	8.212427086	7.356618663	8.88739025	8.630729364	8.206208883
ATP1B2	6.391656721	6.266877181	6.366569823	6.209116795	6.677288175	6.550206405	6.307219417	6.527625432	6.807119374	6.797317398
BM668203	5.551423279	5.461927662	5.451812909	5.17448185	5.30414637	5.449515046	5.407140792	5.383315908	5.493812237	5.386842229
UBLCP1	7.2235397	6.801541677	6.864930893	7.575061354	7.016860538	6.490653331	7.315850216	6.626354587	6.962603027	6.994194597
BG236224	5.238602881	5.316354463	5.251439149	5.186469967	5.277100282	5.238623801	5.349115117	5.348559055	5.336125094	5.23922278
ADAMTSL4	5.864993477	5.887792794	5.837707868	6.326988699	5.768411103	6.330253738	5.87035831	5.553289818	5.389119588	5.559856684
BX109195	5.534979709	5.515251302	5.256248552	5.632471348	5.40361344	5.368151964	5.30920732	5.269256029	5.497014846	5.389957498
IL28B	5.227621853	5.437243653	5.396728535	5.272109454	5.429925715	5.244648041	5.377795718	5.476767042	5.274714244	5.500895177
DES	5.455613849	5.467273507	5.522531163	5.424807911	5.428084884	5.427435227	5.367921502	5.565196845	5.479885598	5.562981767
HERC2P9	5.422033123	5.604634995	5.664397895	5.698036031	5.527820985	5.531662519	5.602476636	5.675821572	6.15252186	5.637751073
BC033582	5.36016001	5.441402699	4.98712747	5.213804231	5.178418544	5.169630151	5.291271315	5.31487029	5.312062123	5.467803093
