patient	MB-0395	MB-4716	MB-5408	MB-3371	MB-2953	MB-2513	MB-3706	MB-2616	MB-3363	MB-7250	MB-4836	MB-2643	MB-6346
category	diespre60	aliveafter72	aliveafter72	aliveafter72	diespre60	diespre60	diespre60	aliveafter72	diespre60	diespre60	diespre60	diespre60	aliveafter72
RERE	8.539274461	9.154042848	9.101002019	8.85031443	8.611643913	8.636327815	7.780478199	8.640263884	8.992805119	8.495574115	8.711445965	8.997441588	9.201276929
RNF165	5.66263814	6.627456286	5.854166523	5.796962684	6.028633782	6.313856267	5.151674478	6.037074993	6.106813871	5.549625681	6.629972832	5.689668101	5.765443235
CD049690	5.536051462	5.650655659	5.454581056	5.467953454	5.267381923	5.693008057	5.248162761	5.599038358	5.401181344	5.323746734	5.475161725	5.576373942	5.499987423
BC033982	5.728543627	5.415170949	5.210206136	5.417599782	5.194902665	5.393030531	5.140049263	5.311279273	5.25724763	5.29154895	5.25445882	5.165726714	5.375493395
PHF7	5.645119367	5.892619435	6.068464158	5.781145222	5.807807673	5.90349702	5.721452276	5.760298033	5.762099743	5.476215725	7.034317352	6.06433678	6.143823133
CIDEA	5.335531525	8.380449386	6.558700113	6.94957064	6.682550489	6.543513184	6.373924894	5.813357873	5.461572607	5.752176137	6.405500857	6.068366655	5.8870256
PAPD4	7.840972502	8.385262434	8.56518112	8.399462579	8.083430126	7.944038179	7.445555521	8.283161857	7.939252339	7.746434926	7.469090561	8.602651443	7.925823032
AI082173	5.164086514	5.369350233	5.198842724	5.36305946	5.244550662	5.188843348	5.326621659	5.022112339	5.278722633	5.265761848	5.217015688	5.155230865	5.222783483
SLC17A3	5.704074861	5.587251065	5.439956825	5.484544194	5.671643959	5.634676027	5.671292167	5.512880454	5.602053454	5.603574405	5.649584838	5.641180059	5.591300066
SDS	7.029269933	6.571863493	6.821348327	6.493574268	7.533386886	7.452581595	6.801278432	6.117017665	6.444364775	6.750082719	6.720177033	8.327101897	7.456273398
ATP6V1C2	5.706693556	5.485769535	5.434101805	5.44141773	5.406492599	5.231444511	6.416853896	5.299604195	5.643224075	5.489083085	5.938845344	5.453390243	5.422433145
